"OrderTrackingID","SalesOrderID","TrackingEventID","EventDateTime"
23,62790,1,"2013-12-25 02:00:00.000000"
44,70518,1,"2014-04-12 02:00:00.000000"
54,62895,1,"2013-12-27 02:00:00.000000"
74,73185,1,"2014-05-18 02:00:00.000000"
158,51660,1,"2013-06-28 02:00:00.000000"
169,62622,1,"2013-12-22 02:00:00.000000"
177,72408,1,"2014-05-07 02:00:00.000000"
205,46137,1,"2012-04-02 02:00:00.000000"
216,68271,1,"2014-03-15 02:00:00.000000"
281,73017,1,"2014-05-15 02:00:00.000000"
314,69783,1,"2014-04-02 02:00:00.000000"
398,67263,1,"2014-03-01 02:00:00.000000"
426,73689,1,"2014-05-24 02:00:00.000000"
439,55755,1,"2013-09-06 02:00:00.000000"
442,46347,1,"2012-04-30 02:00:00.000000"
477,44961,1,"2011-11-20 02:00:00.000000"
501,60081,1,"2013-11-13 02:00:00.000000"
503,53235,1,"2013-07-26 02:00:00.000000"
526,68103,1,"2014-03-12 02:00:00.000000"
533,59241,1,"2013-11-01 02:00:00.000000"
566,50169,1,"2013-03-27 02:00:00.000000"
570,69720,1,"2014-04-01 02:00:00.000000"
601,46557,1,"2012-05-23 02:00:00.000000"
602,55587,1,"2013-09-03 02:00:00.000000"
635,59199,1,"2013-10-31 02:00:00.000000"
670,48384,1,"2012-10-30 02:00:00.000000"
740,49329,1,"2013-01-16 02:00:00.000000"
772,62391,1,"2013-12-18 02:00:00.000000"
776,49581,1,"2013-02-01 02:00:00.000000"
785,62832,1,"2013-12-26 02:00:00.000000"
797,70545,1,"2014-04-13 02:00:00.000000"
824,44625,1,"2011-10-10 02:00:00.000000"
893,47607,1,"2012-08-22 02:00:00.000000"
907,67202,1,"2014-02-28 02:00:00.000000"
941,46746,1,"2012-06-07 02:00:00.000000"
947,73143,1,"2014-05-17 02:00:00.000000"
965,73080,1,"2014-05-16 02:00:00.000000"
971,55986,1,"2013-09-10 02:00:00.000000"
973,67200,1,"2014-02-27 02:00:00.000000"
988,55482,1,"2013-09-01 02:00:00.000000"
1016,65090,1,"2014-01-28 02:00:00.000000"
1022,75075,1,"2014-06-29 02:00:00.000000"
1039,48447,1,"2012-11-03 02:00:00.000000"
1047,46410,1,"2012-05-03 02:00:00.000000"
1049,67204,1,"2014-02-28 02:00:00.000000"
1062,45192,1,"2011-12-20 02:00:00.000000"
1107,64344,1,"2014-01-16 02:00:00.000000"
1156,55713,1,"2013-09-05 02:00:00.000000"
1179,59367,1,"2013-11-03 02:00:00.000000"
1183,71691,1,"2014-04-30 02:00:00.000000"
1271,61152,1,"2013-11-29 02:00:00.000000"
1273,45885,1,"2012-03-11 02:00:00.000000"
1308,69951,1,"2014-04-05 02:00:00.000000"
1354,52227,1,"2013-07-07 02:00:00.000000"
1362,57855,1,"2013-10-12 02:00:00.000000"
1364,67032,1,"2014-02-25 02:00:00.000000"
1379,44814,1,"2011-11-01 02:00:00.000000"
1387,58800,1,"2013-10-28 02:00:00.000000"
1388,66717,1,"2014-02-20 02:00:00.000000"
1390,48552,1,"2012-11-12 02:00:00.000000"
1405,58170,1,"2013-10-17 02:00:00.000000"
1406,70077,1,"2014-04-06 02:00:00.000000"
1410,66885,1,"2014-02-23 02:00:00.000000"
1427,58632,1,"2013-10-25 02:00:00.000000"
1433,58002,1,"2013-10-14 02:00:00.000000"
1463,68712,1,"2014-03-21 02:00:00.000000"
1476,61362,1,"2013-12-01 02:00:00.000000"
1503,59535,1,"2013-11-05 02:00:00.000000"
1505,56490,1,"2013-09-20 02:00:00.000000"
1520,48342,1,"2012-10-30 02:00:00.000000"
1527,73311,1,"2014-05-19 02:00:00.000000"
1545,59850,1,"2013-11-10 02:00:00.000000"
1582,50778,1,"2013-05-01 02:00:00.000000"
1585,54201,1,"2013-08-11 02:00:00.000000"
1608,54348,1,"2013-08-13 02:00:00.000000"
1647,70119,1,"2014-04-07 02:00:00.000000"
1660,74130,1,"2014-05-30 02:00:00.000000"
1675,70749,1,"2014-04-15 02:00:00.000000"
1676,48888,1,"2012-12-11 02:00:00.000000"
1723,44751,1,"2011-10-31 02:00:00.000000"
1726,59073,1,"2013-10-30 02:00:00.000000"
1768,49896,1,"2013-02-28 02:00:00.000000"
1793,70224,1,"2014-04-08 02:00:00.000000"
1811,44268,1,"2011-08-28 02:00:00.000000"
1884,51051,1,"2013-05-27 02:00:00.000000"
1937,47334,1,"2012-07-29 02:00:00.000000"
1958,62160,1,"2013-12-15 02:00:00.000000"
1963,61383,1,"2013-12-02 02:00:00.000000"
1977,70791,1,"2014-04-16 02:00:00.000000"
1989,64911,1,"2014-01-25 02:00:00.000000"
