"SalesOrderID","OrderDate","DueDate","ShipDate","OnlineOrderFlag","CustomerID","SalesPersonEmployeeID","TerritoryID","BillToAddressID","ShipToAddressID","ShipMethodID","CurrencyRateID","SubTotal","TaxAmt","Freight","TotalDue"
43659,"2011-05-31 05:30:00","2011-06-12","2011-06-14","0",29825,279,5,985,985,5,0,20565.6206,1971.5149,616.0984,23153.2339
43662,"2011-05-31 00:00:00","2011-06-12","2011-06-07","0",29994,282,6,482,482,5,4,28832.5289,2775.1646,867.2389,32474.9324
43668,"2011-05-31 00:00:00","2011-06-12","2011-06-07","0",29614,282,6,529,529,5,4,35944.1562,3461.7654,1081.8017,40487.7233
43680,"2011-05-31 00:00:00","2011-06-12","2011-06-07","0",29489,281,4,1069,1069,5,0,11397.4992,1093.6394,341.7623,12832.9009
43681,"2011-05-31 00:00:00","2011-06-12","2011-06-07","0",29661,279,5,955,955,5,0,13787.5434,1323.0668,413.4584,15524.0686
43689,"2011-05-31 00:00:00","2011-06-12","2011-06-07","0",29646,277,4,578,578,5,0,33997.3702,3271.4942,1022.3419,38291.2063
43692,"2011-05-31 07:40:00","2011-06-12","2011-06-07","0",29992,281,4,1024,1024,5,0,38510.8973,3696.3979,1155.1244,43362.4196
43701,"2011-05-31 00:00:00","2011-06-12","2011-06-07","1",11003,0,9,20425,20425,1,2,3399.99,271.9992,84.9998,3756.989
43722,"2011-06-06 00:00:00","2011-06-18","2011-06-20","1",13581,0,10,23990,23990,1,87,3578.27,286.2616,89.4568,3953.9884
43743,"2011-06-11 00:00:00","2011-06-23","2011-06-18","1",11007,0,9,12909,12909,1,145,3399.99,271.9992,84.9998,3756.989
43764,"2011-06-16 00:00:00","2011-06-28","2011-06-23","1",16612,0,9,18740,18740,1,210,3578.27,286.2616,89.4568,3953.9884
43785,"2011-06-21 00:00:00","2011-07-03","2011-07-05","1",11601,0,7,17236,17236,1,281,3578.27,286.2616,89.4568,3953.9884
43806,"2011-06-24 00:00:00","2011-07-06","2011-07-01","1",16523,0,9,26735,26735,1,314,3578.27,286.2616,89.4568,3953.9884
43827,"2011-06-27 00:00:00","2011-07-09","2011-07-04","1",25250,0,9,27524,27524,1,353,699.0982,55.9279,17.4775,772.5036
43848,"2011-07-01 00:00:00","2011-07-13","2011-07-15","0",29717,283,1,851,851,5,0,18269.946,1753.9148,548.0984,20571.9592
43869,"2011-07-01 00:00:00","2011-07-13","2011-07-08","0",30107,276,1,1099,1099,5,0,49193.9864,4734.607,1479.5647,55408.1581
43890,"2011-07-01 23:01:00","2011-07-13","2011-07-08","0",29515,278,6,504,504,5,407,75191.9599,7234.307,2260.7209,84686.9878
43911,"2011-07-01 00:00:00","2011-07-13","2011-07-15","0",29617,280,1,880,880,5,0,19734.8665,1896.6545,592.7045,22224.2255
43932,"2011-07-04 00:00:00","2011-07-16","2011-07-11","1",16741,0,9,26403,26403,1,444,3578.27,286.2616,89.4568,3953.9884
43953,"2011-07-08 00:00:00","2011-07-20","2011-07-15","1",20049,0,10,21405,21405,1,503,699.0982,55.9279,17.4775,772.5036
43974,"2011-07-12 00:00:00","2011-07-24","2011-07-26","1",13687,0,10,25873,25873,1,555,3578.27,286.2616,89.4568,3953.9884
43995,"2011-07-18 00:00:00","2011-07-30","2011-07-25","1",21813,0,6,13493,13493,1,628,3578.27,286.2616,89.4568,3953.9884
44016,"2011-07-21 00:00:00","2011-08-02","2011-07-28","1",11247,0,10,14898,14898,1,672,3374.99,269.9992,84.3748,3729.364
44037,"2011-07-24 00:00:00","2011-08-05","2011-08-07","1",25272,0,9,22224,22224,1,704,699.0982,55.9279,17.4775,772.5036
44058,"2011-07-29 00:00:00","2011-08-10","2011-08-05","1",11056,0,9,17481,17481,1,769,3374.99,269.9992,84.3748,3729.364
44079,"2011-08-01 00:00:00","2011-08-13","2011-08-08","0",29967,277,3,565,565,5,0,25706.4831,2467.5891,771.1216,28945.1938
44100,"2011-08-01 00:00:00","2011-08-13","2011-08-15","0",29690,281,1,1036,1036,5,0,81164.2329,7884.6612,2463.9566,91512.8507
44121,"2011-08-01 21:24:00","2011-08-13","2011-08-08","0",29710,276,1,1017,1017,5,0,64713.9547,6232.6603,1947.7063,72894.3213
44142,"2011-08-02 00:00:00","2011-08-14","2011-08-09","1",22058,0,6,21149,21149,1,823,3578.27,286.2616,89.4568,3953.9884
44163,"2011-08-06 00:00:00","2011-08-18","2011-08-20","1",28193,0,4,21205,21205,1,0,3578.27,286.2616,89.4568,3953.9884
44184,"2011-08-10 00:00:00","2011-08-22","2011-08-17","1",17247,0,9,27816,27816,1,925,3578.27,286.2616,89.4568,3953.9884
44205,"2011-08-16 00:00:00","2011-08-28","2011-08-23","1",17285,0,9,21696,21696,1,1003,3578.27,286.2616,89.4568,3953.9884
44226,"2011-08-21 00:00:00","2011-09-02","2011-09-04","1",12255,0,7,22001,22001,1,1074,3578.27,286.2616,89.4568,3953.9884
44247,"2011-08-24 00:00:00","2011-09-05","2011-08-31","1",17233,0,9,18024,18024,1,1107,3578.27,286.2616,89.4568,3953.9884
44268,"2011-08-28 00:00:00","2011-09-09","2011-09-04","1",13820,0,10,23820,23820,1,1166,3578.27,286.2616,89.4568,3953.9884
44289,"2011-08-31 00:00:00","2011-09-12","2011-09-14","0",29566,275,3,810,810,5,0,4082.088,391.7208,122.4128,4596.2216
44310,"2011-08-31 00:00:00","2011-09-12","2011-09-07","0",30084,279,5,958,958,5,0,183.9382,18.1486,5.6714,207.7582
44331,"2011-09-03 00:00:00","2011-09-15","2011-09-10","1",28257,0,1,27653,27653,1,0,3578.27,286.2616,89.4568,3953.9884
44352,"2011-09-07 09:40:00","2011-09-19","2011-09-21","1",28297,0,1,18394,18394,1,0,3578.27,286.2616,89.4568,3953.9884
